"","protein_id","gene_id","symbol","r.mRNA_Age.Sex","r.Prot_Age.Sex","p.mRNA_Age.Sex","p.Prot_Age.Sex","sig"
"50","ENSMUSP00000043442","ENSMUSG00000026339","Ccdc93",-0.230596475994793,0.184583281440135,0.00216570451328574,0.0165271011982331,TRUE
"51","ENSMUSP00000030456","ENSMUSG00000028693","Nasp",-0.189446321785825,0.213043225125473,0.011412521952615,0.0156917844937685,TRUE
"52","ENSMUSP00000099790","ENSMUSG00000028552","Eps15",-0.176531520425928,0.208849301456546,0.0182721146340981,0.00681136297875891,TRUE
"53","ENSMUSP00000035170","ENSMUSG00000032560","Dnajc13",-0.153915601917794,0.275605675975719,0.0392587405716944,0.000584721451349937,TRUE
"54","ENSMUSP00000001825","ENSMUSG00000001774","Chordc1",-0.242142683527537,0.231227077099757,0.00130052725055665,0.00496777901457726,TRUE
"55","ENSMUSP00000028016","ENSMUSG00000040225","Prrc2c",-0.148264885038412,0.267608274232926,0.0469652414151738,0.00120744294544565,TRUE
"56","ENSMUSP00000085986","ENSMUSG00000067851","Arfgef1",-0.208130055724188,0.277137402018649,0.00553182765362427,0.000367416434042853,TRUE
"57","ENSMUSP00000100046","ENSMUSG00000025816","Sec61a2",-0.171502068800882,0.522318673837902,0.0218021753601493,1.25721337657849e-10,TRUE
"58","ENSMUSP00000026254","ENSMUSG00000025224","Gbf1",-0.16658822305909,0.202173955590665,0.0258153026612042,0.0109713248368289,TRUE
"59","ENSMUSP00000064801","ENSMUSG00000056050","Mia3",-0.233650544868653,0.283796751209989,0.00189589046366862,0.000404706601328732,TRUE
"60","ENSMUSP00000031167","ENSMUSG00000029250","Polr2b",-0.223995999316085,0.153317338501694,0.00287419295099044,0.0459151948638072,TRUE
"61","ENSMUSP00000070339","ENSMUSG00000021690","Jmy",-0.190680328797141,0.234180970203553,0.0108966437917557,0.00332015688619575,TRUE
"62","ENSMUSP00000086167","ENSMUSG00000036561","Ppp6r2",-0.180821457031836,0.462102609930033,0.0156701966303122,3.3909479056411e-06,TRUE
