"","protein_id","gene_id","symbol","r.mRNA_Age.Sex","r.Prot_Age.Sex","p.mRNA_Age.Sex","p.Prot_Age.Sex","sig"
"92","ENSMUSP00000072929","ENSMUSG00000020311","Erlec1",0.153636165252228,-0.215596287312215,0.0396126707568493,0.0243994940786548,TRUE
"93","ENSMUSP00000128915","ENSMUSG00000024683","Mrpl16",0.192144106317186,-0.370101885197324,0.0103118727600132,2.70315688891808e-06,TRUE
"94","ENSMUSP00000019945","ENSMUSG00000019809","Pex3",0.175861578504709,-0.194856030887053,0.0187111626636386,0.0268482126329626,TRUE
"95","ENSMUSP00000118045","ENSMUSG00000031379","Pir",0.182610055279589,-0.19918202243203,0.0146862537023369,0.0237016761158702,TRUE
"96","ENSMUSP00000124742","ENSMUSG00000028559","Osbpl9",0.181380981201942,-0.197850128157067,0.0153562843350367,0.0158685490235911,TRUE
"97","ENSMUSP00000025951","ENSMUSG00000024990","Rbp4",0.208087823020724,-0.392885132791375,0.00554120824579089,1.39411965739929e-05,TRUE
"98","ENSMUSP00000033720","ENSMUSG00000031353","Rbbp7",0.18712625037328,-0.219155542791499,0.0124419370364682,0.00998205322386538,TRUE
"99","ENSMUSP00000013693","ENSMUSG00000029213","Commd8",0.166833595260235,-0.227688442142723,0.0256005907511346,0.018113296179226,TRUE
"100","ENSMUSP00000044188","ENSMUSG00000026238","Ptma",0.164174072593567,-0.264533248502612,0.0280128873103024,0.00094938220680842,TRUE
"101","ENSMUSP00000044178","ENSMUSG00000034192","Lsm3",0.196414376910702,-0.240641268148872,0.00876342886549316,0.00188886015090461,TRUE
"102","ENSMUSP00000034915","ENSMUSG00000032359","Ctsh",0.158508138720448,-0.227677449757235,0.0338185379518249,0.0132116422775011,TRUE
"103","ENSMUSP00000098768","ENSMUSG00000072941","Sod3",0.148250048668648,-0.21140504169262,0.0469870544851768,0.0061751514875026,TRUE
"104","ENSMUSP00000111002","ENSMUSG00000037217","Syn1",0.185917847008368,-0.296146616162451,0.0130102909750029,0.00348707541781342,TRUE
"105","ENSMUSP00000026820","ENSMUSG00000025726","Slc28a1",0.253156594087075,-0.215827888854594,0.000785713043553567,0.041241106292755,TRUE
