"","protein_id","gene_id","symbol","r.mRNA_Age.Sex","r.Prot_Age.Sex","p.mRNA_Age.Sex","p.Prot_Age.Sex","sig"
"95","ENSMUSP00000003911","ENSMUSG00000003813","Rad23a",-0.160735469416598,-0.186834782390321,0.0314229215042997,0.0125769574646992,TRUE
"96","ENSMUSP00000041395","ENSMUSG00000037826","Ppm1k",-0.158117146005948,-0.150282540477714,0.0342549309015168,0.044077748459372,TRUE
"97","ENSMUSP00000081943","ENSMUSG00000006356","Crip2",-0.156493032479184,-0.5586176662119,0.0361199484907961,2.19942630830052e-12,TRUE
"98","ENSMUSP00000112424","ENSMUSG00000020069","Hnrnph3",-0.170716358064633,-0.594077505379126,0.0224045895469688,1.29018689779663e-13,TRUE
"99","ENSMUSP00000104770","ENSMUSG00000007850","Hnrnph1",-0.233090660873592,-0.371537764975335,0.00194289733538995,1.26867374690389e-06,TRUE
"100","ENSMUSP00000070726","ENSMUSG00000026626","Ppp2r5a",-0.152913454825346,-0.648222481881918,0.0405407312535845,1.46796523951896e-15,TRUE
"101","ENSMUSP00000021447","ENSMUSG00000021051","Ppp2r5e",-0.171770046896746,-0.147262346251113,0.0215999882640103,0.0484586708694634,TRUE
"102","ENSMUSP00000030931","ENSMUSG00000029056","Pank4",-0.21063639788771,-0.205281389320278,0.00500033342028324,0.00619797294455335,TRUE
"103","ENSMUSP00000028944","ENSMUSG00000027452","Acss1",-0.175656362564512,-0.203780897637291,0.0188475004186423,0.00657740341290182,TRUE
"104","ENSMUSP00000045154","ENSMUSG00000034723","Tmx4",-0.182297442536975,-0.255172251551245,0.0148541642296907,0.000715181961575359,TRUE
"105","ENSMUSP00000021197","ENSMUSG00000020840","Blmh",-0.217107588273156,-0.147658192516504,0.00383624504623837,0.0478642626599767,TRUE
"106","ENSMUSP00000074702","ENSMUSG00000024331","Dsc2",-0.359094651057982,-0.226406209188128,2.70626355663582e-06,0.00259385132160594,TRUE
"107","ENSMUSP00000110268","ENSMUSG00000031337","Mtm1",-0.247911027805609,-0.552483168537241,0.00100095772268193,3.56173543326532e-12,TRUE
"108","ENSMUSP00000046639","ENSMUSG00000033624","Pdpr",-0.146743745045079,-0.343740460738564,0.0492468581910971,6.72143168372916e-06,TRUE
"109","ENSMUSP00000103402","ENSMUSG00000028328","Tmod1",-0.189918443628178,-0.183188035420808,0.0112126234870066,0.0143802464299858,TRUE
"110","ENSMUSP00000052912","ENSMUSG00000020571","Pdia6",-0.172302868396905,-0.321042292802132,0.0212028630457606,2.44764116247106e-05,TRUE
"111","ENSMUSP00000029925","ENSMUSG00000028261","Ndufaf4",-0.148058968383015,-0.528959626896081,0.0472687578515065,2.20552753182738e-11,TRUE
"112","ENSMUSP00000002908","ENSMUSG00000002831","Plin4",-0.153002125273145,-0.435518752727166,0.0404258749265092,1.96932890880367e-08,TRUE
"113","ENSMUSP00000114906","ENSMUSG00000048351","Selrc1",-0.224858385641541,-0.298480413893257,0.0027708287014492,8.29377971487016e-05,TRUE
"114","ENSMUSP00000004054","ENSMUSG00000022905","Kpna1",-0.156455214689643,-0.160398352787778,0.0361643958028987,0.0317758053610748,TRUE
"115","ENSMUSP00000045927","ENSMUSG00000038121","Fam210a",-0.264409167002251,-0.269336088456571,0.000461437019862037,0.000363518083725784,TRUE
"116","ENSMUSP00000101629","ENSMUSG00000019082","Slc25a22",-0.173418526502167,-0.29365705254728,0.0203920513405818,0.000106745117039014,TRUE
"117","ENSMUSP00000018698","ENSMUSG00000018554","Ybx2",-0.200639235973269,-0.214511408360742,0.00744084791952319,0.00903558400640989,TRUE
"118","ENSMUSP00000117044","ENSMUSG00000000631","Myo18a",-0.190581104823057,-0.36100926967721,0.0109373383564828,0.000219029715615761,TRUE
"119","ENSMUSP00000123256","ENSMUSG00000000631","Myo18a",-0.190581104823057,-0.272163044477261,0.0109373383564828,0.000680894547005449,TRUE
"120","ENSMUSP00000108571","ENSMUSG00000000441","Raf1",-0.245447569736733,-0.219413639294009,0.00112001113678207,0.0220376738142544,TRUE
"121","ENSMUSP00000137617","ENSMUSG00000026466","Tor1aip1",-0.271151285753839,-0.227410751676323,0.000332659627491567,0.00327483475735717,TRUE
"122","ENSMUSP00000093939","ENSMUSG00000022994","Adcy6",-0.301474454229311,-0.356611143416251,7.08040621885529e-05,0.00046001177488115,TRUE
"123","ENSMUSP00000126448","ENSMUSG00000072949","Acot1",-0.207191905042099,-0.331728434975567,0.00574364767965167,4.02186318763407e-05,TRUE
"124","ENSMUSP00000137567","ENSMUSG00000053702","Nebl",-0.178872870907935,-0.596010704690585,0.0168083022264391,5.18139567787892e-13,TRUE
"125","ENSMUSP00000120994","ENSMUSG00000031232","Magt1",-0.181237783278586,-0.23627297043975,0.0154360873092114,0.00227105645464158,TRUE
"126","ENSMUSP00000066492","ENSMUSG00000001855","Nup214",-0.247232399788194,-0.196231389290096,0.00103251806085929,0.0132159725103666,TRUE
"127","ENSMUSP00000018691","ENSMUSG00000018547","Pip4k2b",-0.166812629420858,-0.343476651343589,0.0256188757679463,0.000218856518214982,TRUE
"128","ENSMUSP00000016569","ENSMUSG00000034021","Pds5b",-0.325103665549114,-0.284948988110466,1.95143776535069e-05,0.000384046101113359,TRUE
"129","ENSMUSP00000034136","ENSMUSG00000031700","Gpt2",-0.24768397358095,-0.409018397237353,0.00101141550012031,1.29094789363689e-06,TRUE
"130","ENSMUSP00000099991","ENSMUSG00000024122","Pdpk1",-0.151703881967306,-0.221800174880451,0.0421355748646551,0.0206656497419108,TRUE
"131","ENSMUSP00000073082","ENSMUSG00000025262","Fam120c",-0.225324275610401,-0.353958546063242,0.00271642282114598,1.26421764469487e-05,TRUE
"132","ENSMUSP00000090360","ENSMUSG00000017176","Nt5c3b",-0.152280634994944,-0.410009833563649,0.0413685599647878,1.22215121348208e-06,TRUE
"133","ENSMUSP00000124909","ENSMUSG00000033083","Tbc1d4",-0.228785076397662,-0.163221553212397,0.00234207342373827,0.0337125165309913,TRUE
"134","ENSMUSP00000068408","ENSMUSG00000055531","Cpsf6",-0.20425408529605,-0.188449624010077,0.00645553374921205,0.0262718649330393,TRUE
"135","ENSMUSP00000129242","ENSMUSG00000023942","Slc29a1",-0.232438550909598,-0.220781195713544,0.00199900649685118,0.00427670845120993,TRUE
"136","ENSMUSP00000138277","ENSMUSG00000071054","Safb",-0.347889518529842,-0.426696251184585,5.27114237816081e-06,8.50484544229652e-08,TRUE
"137","ENSMUSP00000010536","ENSMUSG00000010392","Gosr1",-0.248054928429277,-0.201377552270189,0.00099438222011328,0.0279685983105642,TRUE
"138","ENSMUSP00000069688","ENSMUSG00000043154","Ppp2r3a",-0.2912155236912,-0.681538824323245,0.000121148473986416,1.40623671313935e-12,TRUE
"139","ENSMUSP00000048113","ENSMUSG00000039763","Dnajc28",-0.156404909099212,-0.32512033044892,0.0362235928993181,3.30629300490944e-05,TRUE
"140","ENSMUSP00000072239","ENSMUSG00000024127","Prepl",-0.177419260334951,-0.271773218740358,0.0177043533840314,0.000472444740649536,TRUE
"141","ENSMUSP00000038061","ENSMUSG00000039253","Fn3krp",-0.177005282900014,-0.196509251571985,0.0179671470475391,0.0107993358497936,TRUE
"142","ENSMUSP00000103724","ENSMUSG00000028416","Bag1",-0.216383294529238,-0.302709556674602,0.00395292531432071,0.000105445464756469,TRUE
"143","ENSMUSP00000046601","ENSMUSG00000004347","Pde1c",-0.196056062658781,-0.216985994115884,0.00888480539889256,0.0139047158490909,TRUE
"144","ENSMUSP00000025490","ENSMUSG00000024594","Prrc1",-0.220998332903045,-0.277945854858308,0.00326171740054226,0.000785924688725051,TRUE
"145","ENSMUSP00000121309","ENSMUSG00000024949","Sf1",-0.202603790265042,-0.176073448553235,0.00688966778439307,0.0314998622747212,TRUE
"146","ENSMUSP00000034878","ENSMUSG00000032328","Tmem30a",-0.167517139504054,-0.380342939945715,0.0250106513875127,1.22835105510569e-05,TRUE
"147","ENSMUSP00000042606","ENSMUSG00000035776","Cd99l2",-0.155765465689633,-0.333870233080457,0.036983344376917,3.60586455787843e-05,TRUE
"148","ENSMUSP00000138504","ENSMUSG00000030433","Sbk2",-0.153800428277349,-0.483534850968945,0.0394042884204609,4.96169977024876e-08,TRUE
"149","ENSMUSP00000133816","ENSMUSG00000027510","Rbm38",-0.196985290270547,-0.355799104135876,0.00857311978301482,2.14142175661279e-05,TRUE
"150","ENSMUSP00000137332","ENSMUSG00000096188","Cmtm4",-0.282123475785683,-0.420327740086084,0.000192754899243237,4.82757912107136e-05,TRUE
"151","ENSMUSP00000025279","ENSMUSG00000024413","Npc1",-0.306246996285169,-0.48282877731813,5.48925309044942e-05,1.52460052942806e-07,TRUE
"152","ENSMUSP00000047171","ENSMUSG00000037603","Gm5519",-0.168023274326747,-0.251074049580255,0.0245815075212819,0.00457822640468708,TRUE
"153","ENSMUSP00000040451","ENSMUSG00000036052","Dnajb5",-0.152508811441906,-0.503580709968736,0.0410684199100355,4.98344109240643e-08,TRUE
"154","ENSMUSP00000028844","ENSMUSG00000027366","Sppl2a",-0.157855188680589,-0.262549083370246,0.0345500124146091,0.00928972501411895,TRUE
"155","ENSMUSP00000058168","ENSMUSG00000049354","Dcaf7",-0.205631003482868,-0.534643121510051,0.00611247003045554,4.37472043466405e-07,TRUE
"156","ENSMUSP00000019986","ENSMUSG00000019841","Rev3l",-0.269058504683858,-0.418170348353931,0.000368468467531192,3.09611835373529e-07,TRUE
